Occupancy,Flood,Age
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.000,0.000,0.000
0.071,1.000,0.000
0.000,0.000,0.000
0.071,1.000,0.000
0.000,0.000,0.000
0.179,1.000,0.003
0.000,0.000,0.000
0.071,1.000,0.000
0.000,0.000,0.000
0.071,1.000,0.000
0.000,0.000,0.000
0.071,1.000,0.000
0.000,0.000,0.000
0.071,1.000,0.000
0.000,0.000,0.000
0.071,1.000,0.003
0.000,0.000,0.000
0.071,1.000,0.003
0.000,0.000,0.000
0.071,1.000,0.003
0.000,0.000,0.000
0.071,1.000,0.003
0.000,0.000,0.000
0.071,1.000,0.003
0.107,0.333,0.006
0.107,0.000,0.009
0.250,0.571,0.007
0.250,0.000,0.011
0.250,0.000,0.014
0.357,0.300,0.009
0.393,0.091,0.011
0.393,0.000,0.015
0.393,0.000,0.018
0.393,0.000,0.018
0.393,0.000,0.019
0.393,0.000,0.022
0.393,0.000,0.026
0.393,0.000,0.029
0.393,0.000,0.026
0.393,0.000,0.029
0.393,0.000,0.032
0.393,0.000,0.038
0.393,0.000,0.040
0.393,0.000,0.043
0.393,0.000,0.046
0.393,0.000,0.049
0.393,0.000,0.051
0.393,0.000,0.054
0.393,0.000,0.057
0.393,0.000,0.060
0.393,0.000,0.062
0.393,0.000,0.066
0.393,0.000,0.068
0.393,0.000,0.071
0.393,0.000,0.073
0.393,0.000,0.076
0.393,0.000,0.079
0.393,0.000,0.072
0.393,0.000,0.075
0.393,0.000,0.078
0.393,0.000,0.080
0.393,0.000,0.084
0.393,0.000,0.086
0.393,0.000,0.087
0.393,0.000,0.090
0.393,0.000,0.093
0.393,0.000,0.095
0.393,0.000,0.098
0.393,0.000,0.101
0.429,0.083,0.094
0.429,0.000,0.101
0.500,0.143,0.090
0.500,0.000,0.092
0.500,0.000,0.095
0.500,0.000,0.097
0.536,0.067,0.094
0.536,0.000,0.097
0.643,0.167,0.074
0.643,0.000,0.078
0.679,0.053,0.076
0.679,0.000,0.079
0.714,0.050,0.069
0.714,0.000,0.071
0.571,0.000,0.043
0.571,0.000,0.046
0.643,0.111,0.042
0.643,0.000,0.024
0.714,0.100,0.020
0.714,0.000,0.023
0.750,0.048,0.024
0.750,0.000,0.028
0.857,0.125,0.026
0.857,0.000,0.028
0.857,0.000,0.034
0.857,0.000,0.036
0.857,0.000,0.038
0.857,0.000,0.040
0.857,0.000,0.043
0.857,0.000,0.046
0.857,0.000,0.049
0.857,0.000,0.051
0.857,0.000,0.054
0.857,0.000,0.057
0.857,0.000,0.060
0.857,0.000,0.062
0.857,0.000,0.065
0.857,0.000,0.059
0.857,0.000,0.062
0.857,0.000,0.065
0.857,0.000,0.068
0.857,0.000,0.070
0.857,0.000,0.072
0.857,0.000,0.074
0.857,0.000,0.077
0.857,0.000,0.080
0.857,0.000,0.078
0.857,0.000,0.080
0.857,0.000,0.087
0.857,0.000,0.089
0.857,0.000,0.092
0.857,0.000,0.095
0.857,0.000,0.097
0.857,0.000,0.100
0.857,0.000,0.103
0.857,0.000,0.106
0.857,0.000,0.099
0.821,0.000,0.097
0.821,0.000,0.100
0.786,0.000,0.098
0.786,0.000,0.101
0.786,0.000,0.104
0.786,0.000,0.106
0.786,0.000,0.109
0.786,0.000,0.111
0.679,0.000,0.089
0.679,0.000,0.091
0.679,0.000,0.095
0.679,0.000,0.097
0.643,0.000,0.094
0.643,0.000,0.096
0.643,0.000,0.099
0.643,0.000,0.104
0.643,0.000,0.108
0.643,0.000,0.110
0.643,0.000,0.102
0.643,0.000,0.103
0.643,0.000,0.106
0.536,0.000,0.087
0.464,0.000,0.074
0.464,0.000,0.075
0.464,0.000,0.078
0.464,0.000,0.080
0.429,0.000,0.073
0.429,0.000,0.074
0.393,0.000,0.065
0.393,0.000,0.067
0.393,0.000,0.069
0.393,0.000,0.071
0.393,0.000,0.073
0.393,0.000,0.075
0.393,0.000,0.077
0.393,0.000,0.079
0.393,0.000,0.082
0.357,0.000,0.072
0.357,0.000,0.074
0.357,0.000,0.075
0.357,0.000,0.077
0.357,0.000,0.082
0.357,0.000,0.083
0.357,0.000,0.086
0.357,0.000,0.087
0.357,0.000,0.090
0.321,0.000,0.079
0.321,0.000,0.082
0.321,0.000,0.083
0.321,0.000,0.086
0.321,0.000,0.087
0.321,0.000,0.089
0.321,0.000,0.090
0.357,0.100,0.084
0.357,0.000,0.084
0.393,0.091,0.061
0.429,0.083,0.057
0.464,0.000,0.056
0.464,0.000,0.057
0.464,0.000,0.059
0.464,0.000,0.061
0.464,0.000,0.062
0.464,0.000,0.063
0.464,0.077,0.049
0.464,0.000,0.050
0.464,0.000,0.053
0.429,0.083,0.029
0.429,0.000,0.032
0.429,0.000,0.033
0.500,0.143,0.031
0.500,0.000,0.032
0.536,0.067,0.033
0.536,0.000,0.035
0.536,0.000,0.037
0.536,0.000,0.039
0.536,0.000,0.041
0.500,0.000,0.032
0.500,0.000,0.034
0.500,0.000,0.036
0.536,0.067,0.036
0.536,0.000,0.038
0.571,0.062,0.038
0.571,0.000,0.041
0.571,0.000,0.043
0.571,0.000,0.045
0.571,0.000,0.046
0.571,0.000,0.048
0.643,0.111,0.044
0.643,0.000,0.047
0.643,0.000,0.053
0.643,0.000,0.056
0.643,0.000,0.058
0.643,0.000,0.061
0.643,0.000,0.063
0.643,0.000,0.067
0.679,0.053,0.060
0.679,0.000,0.063
0.821,0.174,0.049
0.821,0.000,0.052
0.821,0.000,0.055
0.821,0.000,0.059
0.821,0.000,0.062
0.821,0.000,0.064
0.821,0.000,0.067
0.821,0.000,0.070
0.821,0.000,0.073
0.821,0.000,0.076
0.821,0.000,0.079
0.821,0.000,0.083
0.821,0.000,0.085
0.821,0.000,0.089
0.821,0.000,0.091
0.857,0.042,0.091
0.857,0.000,0.094
0.750,0.000,0.081
0.750,0.000,0.088
0.750,0.000,0.091
0.750,0.000,0.095
0.750,0.000,0.098
0.750,0.000,0.101
0.714,0.000,0.100
0.714,0.000,0.103
0.714,0.000,0.107
0.714,0.000,0.110
0.714,0.000,0.113
0.714,0.000,0.117
0.643,0.000,0.111
0.643,0.000,0.114
0.607,0.000,0.113
0.607,0.000,0.116
0.607,0.000,0.120
0.607,0.000,0.123
0.607,0.000,0.126
0.643,0.056,0.106
0.643,0.000,0.109
0.643,0.000,0.112
0.643,0.000,0.116
0.643,0.000,0.119
0.607,0.000,0.116
0.607,0.000,0.121
0.607,0.000,0.125
0.607,0.000,0.128
0.607,0.000,0.131
0.607,0.000,0.135
0.607,0.000,0.138
0.607,0.000,0.141
0.607,0.000,0.145
0.500,0.000,0.134
0.500,0.000,0.138
0.500,0.000,0.141
0.500,0.000,0.144
0.500,0.000,0.148
0.500,0.000,0.151
0.500,0.000,0.154
0.500,0.000,0.158
0.500,0.000,0.161
0.500,0.000,0.164
0.214,0.000,0.110
0.214,0.000,0.113
0.214,0.000,0.117
0.214,0.000,0.120
0.214,0.000,0.123
0.393,0.455,0.053
0.393,0.000,0.057
0.393,0.000,0.060
0.393,0.000,0.067
0.393,0.000,0.070
0.393,0.000,0.073
0.393,0.000,0.077
0.393,0.000,0.080
0.321,0.000,0.057
0.321,0.000,0.061
0.393,0.182,0.050
0.393,0.000,0.053
0.393,0.000,0.056
0.393,0.000,0.059
0.393,0.000,0.061
0.393,0.000,0.062
0.393,0.000,0.065
0.393,0.000,0.068
0.393,0.000,0.070
0.429,0.083,0.062
0.429,0.000,0.064
0.429,0.000,0.067
0.429,0.000,0.069
0.429,0.000,0.072
0.429,0.000,0.072
0.429,0.000,0.075
0.429,0.000,0.077
0.429,0.000,0.080
0.429,0.000,0.083
0.464,0.077,0.053
0.464,0.000,0.055
0.464,0.000,0.058
0.464,0.000,0.060
0.393,0.000,0.036
0.393,0.000,0.038
0.393,0.000,0.040
0.393,0.000,0.042
0.393,0.000,0.044
0.393,0.000,0.047
0.429,0.083,0.041
0.429,0.000,0.044
0.429,0.000,0.044
0.429,0.000,0.046
0.429,0.000,0.047
0.429,0.000,0.049
0.429,0.000,0.050
0.429,0.000,0.053
0.429,0.000,0.054
0.429,0.000,0.043
0.429,0.000,0.043
0.429,0.000,0.046
0.429,0.000,0.046
0.429,0.000,0.049
0.429,0.000,0.053
0.429,0.000,0.056
0.429,0.000,0.056
0.429,0.000,0.056
0.393,0.000,0.046
0.393,0.000,0.047
0.393,0.000,0.049
0.393,0.000,0.051
0.393,0.000,0.052
0.393,0.000,0.054
0.393,0.000,0.055
0.393,0.000,0.056
0.393,0.000,0.058
0.393,0.000,0.060
0.393,0.000,0.061
0.393,0.000,0.056
0.393,0.000,0.058
0.393,0.000,0.059
0.393,0.000,0.061
0.357,0.000,0.048
0.357,0.000,0.050
0.357,0.000,0.051
0.357,0.000,0.053
0.357,0.000,0.053
0.357,0.000,0.055
0.357,0.000,0.056
0.357,0.000,0.058
0.357,0.000,0.062
0.357,0.000,0.063
0.357,0.000,0.063
0.357,0.000,0.065
0.321,0.000,0.052
0.321,0.000,0.054
0.250,0.000,0.011
0.250,0.000,0.012
0.250,0.000,0.011
0.250,0.000,0.013
0.250,0.000,0.011
0.250,0.000,0.013
0.250,0.000,0.014
0.250,0.000,0.015
0.250,0.000,0.014
0.250,0.000,0.014
0.250,0.000,0.015
0.250,0.000,0.015
0.250,0.000,0.015
0.250,0.000,0.016
0.250,0.000,0.017
0.250,0.000,0.017
0.250,0.000,0.018
0.250,0.000,0.018
0.250,0.000,0.019
0.250,0.000,0.019
0.286,0.125,0.000
0.286,0.000,0.004
0.286,0.000,0.006
0.286,0.000,0.005
0.286,0.000,0.007
0.286,0.000,0.005
0.286,0.000,0.007
0.286,0.000,0.007
0.286,0.000,0.009
0.286,0.000,0.009
0.286,0.000,0.006
0.286,0.000,0.007
0.286,0.000,0.007
0.286,0.000,0.008
0.286,0.000,0.010
0.286,0.000,0.011
0.286,0.000,0.014
0.286,0.000,0.015
0.357,0.200,0.012
0.357,0.000,0.013
0.357,0.000,0.016
0.357,0.000,0.017
0.357,0.000,0.020
0.357,0.000,0.021
0.357,0.000,0.024
0.357,0.000,0.028
0.357,0.000,0.029
0.357,0.000,0.032
0.357,0.000,0.033
0.357,0.000,0.036
0.357,0.000,0.037
0.357,0.000,0.040
0.357,0.000,0.041
0.429,0.167,0.028
0.429,0.000,0.030
0.429,0.000,0.033
0.429,0.000,0.035
0.429,0.000,0.036
0.429,0.000,0.039
0.429,0.000,0.042
0.429,0.000,0.044
0.429,0.000,0.046
0.429,0.000,0.048
0.429,0.000,0.051
0.429,0.000,0.052
0.429,0.000,0.055
0.429,0.000,0.056
0.429,0.000,0.059
0.429,0.000,0.061
0.500,0.143,0.045
0.500,0.000,0.047
0.500,0.000,0.053
0.500,0.000,0.055
0.500,0.000,0.058
0.500,0.000,0.060
0.500,0.000,0.063
0.500,0.000,0.065
0.500,0.000,0.068
0.500,0.000,0.070
0.500,0.000,0.071
0.500,0.000,0.074
0.500,0.000,0.076
0.500,0.000,0.079
0.500,0.000,0.081
0.500,0.000,0.083
0.571,0.125,0.075
0.571,0.000,0.077
0.571,0.062,0.067
0.571,0.000,0.070
0.571,0.000,0.072
0.571,0.000,0.075
0.571,0.000,0.077
0.571,0.000,0.079
0.571,0.000,0.081
0.571,0.000,0.084
0.464,0.000,0.060
0.464,0.000,0.065
0.464,0.000,0.066
0.464,0.000,0.069
0.464,0.000,0.070
0.464,0.000,0.073
0.607,0.235,0.058
0.607,0.000,0.060
0.607,0.000,0.062
0.607,0.000,0.066
0.607,0.000,0.068
0.607,0.000,0.071
0.607,0.000,0.073
0.607,0.000,0.076
0.607,0.000,0.077
0.607,0.000,0.080
0.607,0.000,0.083
0.607,0.000,0.085
0.607,0.000,0.088
0.607,0.000,0.090
0.607,0.000,0.093
0.714,0.150,0.081
0.714,0.000,0.084
0.607,0.000,0.062
0.607,0.000,0.065
0.607,0.000,0.067
0.607,0.000,0.073
0.607,0.000,0.076
0.607,0.000,0.079
0.607,0.000,0.081
0.607,0.000,0.084
0.607,0.000,0.086
0.607,0.000,0.089
0.500,0.000,0.066
0.500,0.000,0.069
0.500,0.000,0.071
0.500,0.000,0.073
0.536,0.067,0.070
0.536,0.000,0.073
0.536,0.000,0.075
0.536,0.000,0.078
0.536,0.000,0.080
0.536,0.000,0.082
0.536,0.000,0.085
0.536,0.000,0.087
0.536,0.000,0.090
0.536,0.000,0.092
0.536,0.000,0.095
0.464,0.000,0.081
0.464,0.000,0.084
0.500,0.071,0.079
0.500,0.000,0.082
0.500,0.000,0.084
0.500,0.000,0.090
0.500,0.000,0.092
0.500,0.000,0.095
0.500,0.000,0.097
0.500,0.000,0.100
0.500,0.000,0.102
0.500,0.000,0.104
0.536,0.067,0.099
0.536,0.000,0.102
0.536,0.000,0.104
0.357,0.000,0.060
0.357,0.000,0.061
0.357,0.000,0.064
0.357,0.000,0.065
0.357,0.000,0.068
0.357,0.000,0.069
0.357,0.000,0.072
0.357,0.000,0.073
0.357,0.000,0.075
0.357,0.000,0.077
0.357,0.000,0.080
0.357,0.000,0.081
0.357,0.000,0.084
0.357,0.000,0.085
0.357,0.000,0.088
0.357,0.000,0.089
0.250,0.000,0.045
0.250,0.000,0.046
0.250,0.000,0.049
0.250,0.000,0.051
0.250,0.000,0.051
0.250,0.000,0.054
0.250,0.000,0.054
0.250,0.000,0.057
0.250,0.000,0.057
0.250,0.000,0.059
0.250,0.000,0.060
0.250,0.000,0.062
0.250,0.000,0.063
0.250,0.000,0.065
0.250,0.000,0.066
0.250,0.000,0.068
0.214,0.000,0.047
0.214,0.000,0.049
0.214,0.000,0.049
0.214,0.000,0.050
0.250,0.000,0.044
0.250,0.000,0.047
0.250,0.000,0.047
0.250,0.000,0.050
0.250,0.000,0.050
0.250,0.000,0.052
0.250,0.000,0.053
0.250,0.000,0.059
0.214,0.000,0.034
0.214,0.000,0.036
0.214,0.000,0.037
0.214,0.000,0.037
0.214,0.000,0.039
0.214,0.000,0.039
0.214,0.000,0.041
0.214,0.000,0.041
0.214,0.000,0.043
0.214,0.000,0.043
0.179,0.000,0.015
0.214,0.167,0.014
0.214,0.000,0.017
0.214,0.000,0.019
0.214,0.000,0.021
0.214,0.000,0.023
0.214,0.000,0.026
0.214,0.000,0.028
0.214,0.000,0.030
0.214,0.000,0.032
0.286,0.250,0.017
0.286,0.000,0.018
0.286,0.000,0.020
0.286,0.000,0.022
0.286,0.000,0.023
0.286,0.000,0.025
0.286,0.000,0.027
0.286,0.000,0.028
0.286,0.000,0.033
0.286,0.000,0.035
0.286,0.000,0.028
0.286,0.000,0.031
0.286,0.000,0.033
0.286,0.000,0.036
0.286,0.000,0.038
0.286,0.000,0.041
0.286,0.000,0.041
0.286,0.000,0.043
0.286,0.000,0.045
0.286,0.000,0.048
0.286,0.000,0.050
0.286,0.000,0.052
0.286,0.000,0.055
0.286,0.000,0.058
0.286,0.000,0.060
0.286,0.000,0.062
0.286,0.000,0.065
0.286,0.000,0.068
0.286,0.000,0.070
0.250,0.000,0.054
0.286,0.125,0.050
0.286,0.000,0.052
0.286,0.000,0.055
0.286,0.000,0.058
0.286,0.000,0.060
0.286,0.000,0.062
0.286,0.000,0.065
0.286,0.000,0.068
0.286,0.000,0.070
0.286,0.000,0.072
0.286,0.000,0.075
0.286,0.000,0.077
0.286,0.000,0.080
0.286,0.000,0.086
0.286,0.000,0.088
0.286,0.000,0.091
0.286,0.000,0.093
0.286,0.000,0.096
0.286,0.000,0.098
0.321,0.111,0.090
0.321,0.000,0.093
0.321,0.000,0.095
0.321,0.000,0.098
0.321,0.000,0.100
0.321,0.000,0.103
0.321,0.000,0.106
0.321,0.000,0.107
0.321,0.000,0.111
0.250,0.000,0.088
0.286,0.125,0.079
0.286,0.000,0.082
0.286,0.000,0.084
0.286,0.000,0.087
0.286,0.000,0.089
