State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
0,0,0,0,0.00-0.12,0.00-0.12,0.00-0.12,0.0,-2.2182,-2.0713,0.0,EVICT
1,0,0,1,0.00-0.12,0.00-0.12,0.12-0.25,0.0,-0.6872,-1.3421,0.0,EVICT
2,0,0,2,0.00-0.12,0.00-0.12,0.25-0.38,0.0,-0.8042,-0.19,0.0,EVICT
3,0,0,3,0.00-0.12,0.00-0.12,0.38-0.50,0.0,-0.698,-0.6061,0.0,EVICT
4,0,0,4,0.00-0.12,0.00-0.12,0.50-0.62,0.0,1.4434,-0.0156,0.0,INC_AGE
5,0,0,5,0.00-0.12,0.00-0.12,0.62-0.75,0.0,1.6448,0.1671,0.0,INC_AGE
6,0,0,6,0.00-0.12,0.00-0.12,0.75-0.88,0.0,1.5676,0.1182,0.0,INC_AGE
7,0,0,7,0.00-0.12,0.00-0.12,0.88-1.00,0.0,0.2056,0.8004,0.0,DEC_AGE
8,0,1,0,0.00-0.12,0.12-0.25,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
9,0,1,1,0.00-0.12,0.12-0.25,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
10,0,1,2,0.00-0.12,0.12-0.25,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
11,0,1,3,0.00-0.12,0.12-0.25,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
12,0,1,4,0.00-0.12,0.12-0.25,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
13,0,1,5,0.00-0.12,0.12-0.25,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
14,0,1,6,0.00-0.12,0.12-0.25,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
15,0,1,7,0.00-0.12,0.12-0.25,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
16,0,2,0,0.00-0.12,0.25-0.38,0.00-0.12,0.0,0.0196,0.0,0.0,INC_AGE
17,0,2,1,0.00-0.12,0.25-0.38,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
18,0,2,2,0.00-0.12,0.25-0.38,0.25-0.38,0.0,0.1492,0.0,0.0,INC_AGE
19,0,2,3,0.00-0.12,0.25-0.38,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
20,0,2,4,0.00-0.12,0.25-0.38,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
21,0,2,5,0.00-0.12,0.25-0.38,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
22,0,2,6,0.00-0.12,0.25-0.38,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
23,0,2,7,0.00-0.12,0.25-0.38,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
24,0,3,0,0.00-0.12,0.38-0.50,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
25,0,3,1,0.00-0.12,0.38-0.50,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
26,0,3,2,0.00-0.12,0.38-0.50,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
27,0,3,3,0.00-0.12,0.38-0.50,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
28,0,3,4,0.00-0.12,0.38-0.50,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
29,0,3,5,0.00-0.12,0.38-0.50,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
30,0,3,6,0.00-0.12,0.38-0.50,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
31,0,3,7,0.00-0.12,0.38-0.50,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
32,0,4,0,0.00-0.12,0.50-0.62,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
33,0,4,1,0.00-0.12,0.50-0.62,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
34,0,4,2,0.00-0.12,0.50-0.62,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
35,0,4,3,0.00-0.12,0.50-0.62,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
36,0,4,4,0.00-0.12,0.50-0.62,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
37,0,4,5,0.00-0.12,0.50-0.62,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
38,0,4,6,0.00-0.12,0.50-0.62,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
39,0,4,7,0.00-0.12,0.50-0.62,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
40,0,5,0,0.00-0.12,0.62-0.75,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
41,0,5,1,0.00-0.12,0.62-0.75,0.12-0.25,0.0,0.0,-0.0084,0.0,EVICT
42,0,5,2,0.00-0.12,0.62-0.75,0.25-0.38,0.0,0.0,-0.0083,0.0,EVICT
43,0,5,3,0.00-0.12,0.62-0.75,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
