Occupancy,Flood,Age
0.350,0.000,0.011
0.400,0.125,0.015
0.400,0.000,0.017
0.400,0.000,0.023
0.400,0.000,0.025
0.400,0.000,0.027
0.400,0.000,0.030
0.400,0.000,0.035
0.400,0.000,0.037
0.400,0.000,0.040
0.400,0.000,0.042
0.400,0.000,0.048
0.400,0.000,0.050
0.400,0.000,0.052
0.400,0.000,0.055
0.400,0.000,0.060
0.400,0.000,0.062
0.400,0.000,0.067
0.400,0.000,0.070
0.400,0.000,0.072
0.400,0.000,0.077
0.400,0.000,0.080
0.400,0.000,0.082
0.550,0.273,0.052
0.550,0.000,0.044
0.550,0.000,0.048
0.550,0.000,0.051
0.550,0.083,0.054
0.600,0.000,0.051
0.650,0.077,0.049
0.650,0.000,0.054
0.650,0.000,0.045
0.650,0.000,0.046
0.650,0.133,0.052
0.750,0.000,0.034
0.750,0.000,0.040
0.750,0.000,0.038
0.750,0.000,0.043
0.850,0.118,0.029
0.950,0.105,0.031
0.950,0.050,0.033
1.000,0.000,0.037
1.000,0.000,0.040
1.050,0.048,0.043
1.050,0.000,0.043
1.050,0.000,0.035
1.150,0.087,0.037
1.150,0.000,0.040
1.150,0.000,0.046
1.200,0.042,0.046
1.200,0.000,0.052
1.200,0.000,0.054
1.200,0.000,0.056
1.200,0.000,0.059
1.200,0.000,0.064
1.200,0.000,0.070
1.200,0.000,0.073
1.200,0.000,0.075
1.200,0.000,0.081
1.200,0.000,0.079
1.200,0.000,0.081
1.200,0.000,0.087
1.200,0.000,0.088
1.200,0.000,0.091
1.200,0.000,0.096
1.200,0.000,0.099
1.150,0.000,0.093
1.150,0.000,0.098
1.150,0.000,0.100
1.150,0.000,0.103
1.100,0.000,0.104
1.100,0.000,0.107
1.050,0.000,0.105
1.050,0.000,0.107
1.050,0.000,0.107
1.050,0.000,0.110
0.850,0.000,0.095
0.850,0.000,0.097
0.850,0.000,0.098
0.850,0.000,0.103
0.850,0.000,0.105
0.750,0.067,0.082
0.650,0.000,0.070
0.650,0.000,0.071
0.600,0.000,0.064
0.600,0.000,0.066
0.600,0.000,0.067
0.550,0.000,0.058
0.550,0.000,0.060
0.550,0.000,0.061
0.450,0.000,0.031
0.450,0.000,0.035
0.450,0.000,0.036
0.450,0.000,0.036
0.450,0.000,0.037
0.450,0.000,0.042
0.450,0.000,0.041
0.450,0.000,0.025
0.450,0.000,0.026
0.450,0.000,0.027
0.450,0.000,0.030
0.450,0.000,0.031
0.450,0.000,0.031
0.450,0.000,0.034
0.500,0.100,0.035
0.500,0.000,0.035
0.500,0.000,0.036
0.500,0.000,0.040
0.500,0.000,0.041
0.500,0.000,0.041
0.500,0.000,0.043
0.500,0.000,0.047
0.650,0.077,0.037
0.650,0.000,0.039
0.650,0.000,0.043
0.650,0.000,0.045
0.650,0.000,0.046
0.650,0.000,0.047
0.650,0.071,0.049
0.700,0.000,0.050
0.750,0.067,0.048
0.750,0.000,0.050
0.750,0.000,0.052
0.750,0.000,0.057
0.750,0.000,0.058
0.800,0.062,0.059
0.800,0.000,0.061
0.800,0.000,0.058
0.800,0.000,0.049
0.850,0.059,0.051
0.850,0.000,0.053
0.850,0.000,0.054
0.850,0.000,0.059
0.850,0.056,0.060
0.900,0.000,0.061
0.900,0.000,0.063
0.900,0.000,0.065
0.900,0.000,0.069
0.900,0.000,0.071
0.900,0.000,0.077
0.900,0.000,0.078
0.900,0.000,0.080
0.900,0.000,0.086
0.900,0.000,0.087
0.900,0.000,0.089
1.150,0.217,0.065
1.150,0.000,0.068
1.150,0.000,0.073
1.150,0.000,0.075
1.150,0.000,0.081
1.150,0.000,0.082
1.150,0.000,0.087
1.150,0.000,0.090
1.150,0.000,0.095
1.150,0.000,0.097
1.150,0.000,0.103
1.200,0.042,0.083
1.200,0.000,0.089
1.200,0.000,0.092
1.200,0.000,0.097
1.200,0.000,0.099
1.200,0.000,0.104
1.200,0.000,0.109
1.200,0.000,0.111
1.200,0.000,0.117
1.200,0.000,0.119
1.200,0.000,0.124
1.200,0.000,0.112
1.200,0.000,0.114
1.200,0.000,0.120
1.200,0.000,0.125
1.200,0.000,0.127
1.200,0.000,0.132
1.200,0.000,0.134
1.200,0.000,0.139
1.200,0.000,0.145
1.200,0.000,0.146
1.200,0.000,0.149
1.200,0.000,0.155
1.200,0.000,0.156
1.200,0.000,0.162
1.200,0.000,0.165
1.200,0.000,0.170
1.200,0.000,0.174
1.200,0.000,0.176
1.200,0.000,0.181
1.200,0.000,0.186
1.200,0.000,0.192
1.200,0.000,0.195
1.200,0.000,0.197
1.200,0.000,0.202
1.200,0.000,0.205
1.200,0.000,0.210
1.200,0.000,0.216
1.200,0.000,0.221
1.200,0.000,0.227
1.200,0.000,0.229
1.200,0.000,0.234
1.200,0.000,0.237
1.200,0.000,0.227
1.200,0.000,0.233
1.200,0.000,0.239
1.200,0.000,0.241
1.200,0.000,0.246
1.200,0.000,0.248
1.200,0.000,0.254
1.200,0.000,0.257
1.200,0.000,0.263
1.200,0.000,0.265
1.200,0.000,0.272
1.200,0.000,0.274
